unitid,institution name,year,EF2008CP.Major field of study,EF2008CP.Grand total,EF2008CP.Total men,EF2008CP.Total women,EF2008CP.American Indian or Alaska Native total - derived,EF2008CP.American Indian or Alaska Native men - derived,EF2008CP.American Indian or Alaska Native women - derived,EF2008CP.Asian/Native Hawaiian/Other Pacific Islander total - derived,EF2008CP.Asian/Native Hawaiian/Other Pacific Islander men - derived,EF2008CP.Asian/Native Hawaiian/Other Pacific Islander women - derived,EF2008CP.Black or African American/Black non-Hispanic total - derived,EF2008CP.Black or African American/Black non-Hispanic men - derived,EF2008CP.Black or African American/Black non-Hispanic women - derived,EF2008CP.Hispanic or Latino/Hispanic  total - derived,EF2008CP.Hispanic or Latino/Hispanic  men - derived,EF2008CP.Hispanic or Latino/Hispanic  women - derived,EF2008CP.White/White non-Hispanic total - derived,EF2008CP.White/White non-Hispanic men - derived,EF2008CP.White/White non-Hispanic women - derived,EF2008CP.American Indian or Alaska Native total - new,EF2008CP.American Indian or Alaska Native men - new,EF2008CP.American Indian or Alaska Native women - new,EF2008CP.Asian total - new,EF2008CP.Asian men - new,EF2008CP.Asian women - new,EF2008CP.Black or African American total - new,EF2008CP.Black or African American men - new,EF2008CP.Black or African American women - new,EF2008CP.Hispanic total - new,EF2008CP.Hispanic men - new,EF2008CP.Hispanic women - new,EF2008CP.Native Hawaiian or Other Pacific Islander total - new,EF2008CP.Native Hawaiian or Other Pacific Islander men - new,EF2008CP.Native Hawaiian or Other Pacific Islander women - new,EF2008CP.White total - new,EF2008CP.White men - new,EF2008CP.White women - new,EF2008CP.Two or more races total - new,EF2008CP.Two or more races men - new,EF2008CP.Two or more races women - new,EF2008CP.American Indian or Alaska Native total - old,EF2008CP.American Indian or Alaska Native men - old,EF2008CP.American Indian or Alaska Native women - old,EF2008CP.Asian or Pacific Islander total - old,EF2008CP.Asian or Pacific Islander men - old,EF2008CP.Asian or Pacific Islander women - old,EF2008CP.Black non-Hispanic total - old,EF2008CP.Black non-Hispanic men - old,EF2008CP.Black non-Hispanic women - old,EF2008CP.Hispanic total - old,EF2008CP.Hispanic men - old,EF2008CP.Hispanic women - old,EF2008CP.White non-Hispanic total - old,EF2008CP.White non-Hispanic men- old,EF2008CP.White non-Hispanic women - old,EF2008CP.Race/ethnicity unknown total,EF2008CP.Race/ethnicity unknown men,EF2008CP.Race/ethnicity unknown women,EF2008CP.Nonresident alien total,EF2008CP.Nonresident alien men,EF2008CP.Nonresident alien women,IDX_EF
166027,Harvard University,2008,"13.0000-Education, All students total",903,216,687,4,2,2,95,17,78,76,23,53,51,15,36,437,101,336,,,,,,,,,,,,,,,,,,,,,,4,2,2,95,17,78,76,23,53,51,15,36,437,101,336,116,29,87,124,29,95,-2
166027,Harvard University,2008,"13.0000-Education, Graduate",903,216,687,4,2,2,95,17,78,76,23,53,51,15,36,437,101,336,,,,,,,,,,,,,,,,,,,,,,4,2,2,95,17,78,76,23,53,51,15,36,437,101,336,116,29,87,124,29,95,-2
166027,Harvard University,2008,"14.0000-Engineering, All students total",219,154,65,1,0,1,32,22,10,8,3,5,7,2,5,70,49,21,,,,,,,,,,,,,,,,,,,,,,1,0,1,32,22,10,8,3,5,7,2,5,70,49,21,13,9,4,88,69,19,-2
166027,Harvard University,2008,"14.0000-Engineering, Undergraduate total",68,48,20,1,0,1,11,9,2,6,3,3,3,0,3,27,18,9,,,,,,,,,,,,,,,,,,,,,,1,0,1,11,9,2,6,3,3,3,0,3,27,18,9,3,2,1,17,16,1,-2
166027,Harvard University,2008,"14.0000-Engineering, Graduate",151,106,45,0,0,0,21,13,8,2,0,2,4,2,2,43,31,12,,,,,,,,,,,,,,,,,,,,,,0,0,0,21,13,8,2,0,2,4,2,2,43,31,12,10,7,3,71,53,18,-2
166027,Harvard University,2008,"14.0000-Engineering, Undergraduate, Other degree/certificate-seeking, Continuing",68,48,20,1,0,1,11,9,2,6,3,3,3,0,3,27,18,9,,,,,,,,,,,,,,,,,,,,,,1,0,1,11,9,2,6,3,3,3,0,3,27,18,9,3,2,1,17,16,1,-2
166027,Harvard University,2008,"26.0000-Biological Sciences/Life Sciences, All students total",1442,648,794,5,3,2,255,93,162,57,23,34,75,37,38,621,296,325,,,,,,,,,,,,,,,,,,,,,,5,3,2,255,93,162,57,23,34,75,37,38,621,296,325,175,70,105,254,126,128,-2
166027,Harvard University,2008,"26.0000-Biological Sciences/Life Sciences, Undergraduate total",482,205,277,1,1,0,123,43,80,34,13,21,31,15,16,192,87,105,,,,,,,,,,,,,,,,,,,,,,1,1,0,123,43,80,34,13,21,31,15,16,192,87,105,70,29,41,31,17,14,-2
166027,Harvard University,2008,"26.0000-Biological Sciences/Life Sciences, Graduate",960,443,517,4,2,2,132,50,82,23,10,13,44,22,22,429,209,220,,,,,,,,,,,,,,,,,,,,,,4,2,2,132,50,82,23,10,13,44,22,22,429,209,220,105,41,64,223,109,114,-2
166027,Harvard University,2008,"27.0000-Mathematics, All students total",316,226,90,3,2,1,37,24,13,2,1,1,8,7,1,108,81,27,,,,,,,,,,,,,,,,,,,,,,3,2,1,37,24,13,2,1,1,8,7,1,108,81,27,41,33,8,117,78,39,-2
