unitid,institution name,year,EF2012CP.Major field of study,EF2012CP.Grand total,EF2012CP.Total men,EF2012CP.Total women,EF2012CP.American Indian or Alaska Native total,EF2012CP.American Indian or Alaska Native men,EF2012CP.American Indian or Alaska Native women,EF2012CP.Asian total,EF2012CP.Asian men,EF2012CP.Asian women,EF2012CP.Black or African American total,EF2012CP.Black or African American men,EF2012CP.Black or African American women,EF2012CP.Hispanic total,EF2012CP.Hispanic men,EF2012CP.Hispanic women,EF2012CP.Native Hawaiian or Other Pacific Islander total,EF2012CP.Native Hawaiian or Other Pacific Islander men,EF2012CP.Native Hawaiian or Other Pacific Islander women,EF2012CP.White total,EF2012CP.White men,EF2012CP.White women,EF2012CP.Two or more races total,EF2012CP.Two or more races men,EF2012CP.Two or more races women,EF2012CP.Race/ethnicity unknown total,EF2012CP.Race/ethnicity unknown men,EF2012CP.Race/ethnicity unknown women,EF2012CP.Nonresident alien total,EF2012CP.Nonresident alien men,EF2012CP.Nonresident alien women,IDX_EF
166027,Harvard University,2012,"13.0000-Education, All students total",913,240,673,3,1,2,83,17,66,81,31,50,75,16,59,1,0,1,496,136,360,32,9,23,32,11,21,110,19,91,-2
166027,Harvard University,2012,"13.0000-Education, Graduate",913,240,673,3,1,2,83,17,66,81,31,50,75,16,59,1,0,1,496,136,360,32,9,23,32,11,21,110,19,91,-2
166027,Harvard University,2012,"14.0000-Engineering, All students total",383,264,119,0,0,0,51,27,24,16,10,6,24,11,13,0,0,0,139,99,40,10,5,5,20,14,6,123,98,25,-2
166027,Harvard University,2012,"14.0000-Engineering, Undergraduate total",152,95,57,0,0,0,26,11,15,13,9,4,17,8,9,0,0,0,60,43,17,9,4,5,5,5,0,22,15,7,-2
166027,Harvard University,2012,"14.0000-Engineering, Graduate total",231,169,62,0,0,0,25,16,9,3,1,2,7,3,4,0,0,0,79,56,23,1,1,0,15,9,6,101,83,18,-2
166027,Harvard University,2012,"26.0000-Biological Sciences/Life Sciences, All students total",1771,819,952,5,3,2,310,129,181,62,30,32,111,54,57,2,0,2,776,359,417,80,35,45,64,28,36,361,181,180,-2
166027,Harvard University,2012,"26.0000-Biological Sciences/Life Sciences, Undergraduate total",492,199,293,2,2,0,134,55,79,31,13,18,52,25,27,0,0,0,188,66,122,33,12,21,17,8,9,35,18,17,-2
166027,Harvard University,2012,"26.0000-Biological Sciences/Life Sciences, Graduate",1279,620,659,3,1,2,176,74,102,31,17,14,59,29,30,2,0,2,588,293,295,47,23,24,47,20,27,326,163,163,-2
166027,Harvard University,2012,"27.0000-Mathematics, All students total",413,293,120,1,1,0,84,58,26,12,9,3,14,11,3,0,0,0,127,101,26,11,6,5,20,15,5,144,92,52,-2
166027,Harvard University,2012,"27.0000-Mathematics, Undergraduate total",257,181,76,1,1,0,75,52,23,12,9,3,11,8,3,0,0,0,90,68,22,7,4,3,15,10,5,46,29,17,-2
166027,Harvard University,2012,"27.0000-Mathematics, Graduate",156,112,44,0,0,0,9,6,3,0,0,0,3,3,0,0,0,0,37,33,4,4,2,2,5,5,0,98,63,35,-2
166027,Harvard University,2012,"40.0000-Physical Sciences, All students total",843,551,292,2,2,0,125,70,55,9,2,7,22,16,6,0,0,0,358,232,126,21,14,7,36,27,9,270,188,82,-2
166027,Harvard University,2012,"40.0000-Physical Sciences, Undergraduate total",200,120,80,1,1,0,62,34,28,8,2,6,12,8,4,0,0,0,84,53,31,12,7,5,13,10,3,8,5,3,-2
166027,Harvard University,2012,"40.0000-Physical Sciences, Graduate",643,431,212,1,1,0,63,36,27,1,0,1,10,8,2,0,0,0,274,179,95,9,7,2,23,17,6,262,183,79,-2
166027,Harvard University,2012,"52.0000-Business Management and Administrative Services, All students total",2352,1442,910,0,0,0,323,164,159,109,62,47,102,69,33,1,1,0,940,591,349,44,23,21,132,86,46,701,446,255,-2
166027,Harvard University,2012,"22.0101-Law (first professional), All students",1699,899,800,6,3,3,187,79,108,150,76,74,148,70,78,0,0,0,905,504,401,39,19,20,142,93,49,122,55,67,-2
166027,Harvard University,2012,"51.0401-Dentistry (first professional), All students",147,61,86,1,0,1,47,20,27,1,0,1,7,2,5,0,0,0,68,32,36,4,2,2,1,0,1,18,5,13,-2
166027,Harvard University,2012,"51.1201-Medicine (first professional), All students",694,358,336,2,1,1,185,108,77,51,21,30,63,26,37,1,0,1,263,131,132,24,16,8,59,28,31,46,27,19,-2
